Infinitive,сти́снуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сти́снувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сти́снутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сти́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сти́снувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сти́сну
2nd Sing,сти́снешь
3rd Sing,сти́снет
1st Pl,сти́снем
2nd Pl,сти́снете
3rd Pl,сти́снут
Past M,сти́снул
Past F,сти́снула
Past N,сти́снуло
Past PL,сти́снули
Imp S,сти́сни
Imp PL,сти́сните
