Infinitive,стру́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,стру́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стру́сив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,стру́сивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,стру́шу
2nd Sing,стру́сишь
3rd Sing,стру́сит
1st Pl,стру́сим
2nd Pl,стру́сите
3rd Pl,стру́сят
Past M,стру́сил
Past F,стру́сила
Past N,стру́сило
Past PL,стру́сили
Imp S,стру́сь
Imp PL,стру́сьте
