Infinitive,ста́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ста́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ста́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ста́скиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ста́скивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ста́скивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ста́скивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,ста́скиваю
2nd Sing,ста́скиваешь
3rd Sing,ста́скивает
1st Pl,ста́скиваем
2nd Pl,ста́скиваете
3rd Pl,ста́скивают
Past M,ста́скивал
Past F,ста́скивала
Past N,ста́скивало
Past PL,ста́скивали
Imp S,ста́скивай
Imp PL,ста́скивайте
