Infinitive,ста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ста́ну
2nd Sing,ста́нешь
3rd Sing,ста́нет
1st Pl,ста́нем
2nd Pl,ста́нете
3rd Pl,ста́нут
Past M,ста́л
Past F,ста́ла
Past N,ста́ло
Past PL,ста́ли
Imp S,ста́нь
Imp PL,ста́ньте
