Infinitive,стро́иться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стро́ящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стро́ившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стро́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стро́ившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стро́юсь
2nd Sing,стро́ишься
3rd Sing,стро́ится
1st Pl,стро́имся
2nd Pl,стро́итесь
3rd Pl,стро́ятся
Past M,стро́ился
Past F,стро́илась
Past N,стро́илось
Past PL,стро́ились
Imp S,стро́йся
Imp PL,стро́йтесь
