Infinitive,стемне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,стемне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стемне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,стемне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,стемне́ю
2nd Sing,стемне́ешь
3rd Sing,стемне́ет
1st Pl,стемне́ем
2nd Pl,стемне́ете
3rd Pl,стемне́ют
Past M,стемне́л
Past F,стемне́ла
Past N,стемне́ло
Past PL,стемне́ли
Imp S,стемне́й
Imp PL,стемне́йте
