Infinitive,сту́каться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сту́кающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сту́кавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сту́каясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сту́кавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сту́каюсь
2nd Sing,сту́каешься
3rd Sing,сту́кается
1st Pl,сту́каемся
2nd Pl,сту́каетесь
3rd Pl,сту́каются
Past M,сту́кался
Past F,сту́калась
Past N,сту́калось
Past PL,сту́кались
Imp S,сту́кайся
Imp PL,сту́кайтесь
