Infinitive,стопта́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стопта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сто́птанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стопта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,стопта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стопчу́
2nd Sing,сто́пчешь
3rd Sing,сто́пчет
1st Pl,сто́пчем
2nd Pl,сто́пчете
3rd Pl,сто́пчут
Past M,стопта́л
Past F,стопта́ла
Past N,стопта́ло
Past PL,стопта́ли
Imp S,стопчи́
Imp PL,стопчи́те
