Infinitive,стесня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стесня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стесня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стесня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стесня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стесня́юсь
2nd Sing,стесня́ешься
3rd Sing,стесня́ется
1st Pl,стесня́емся
2nd Pl,стесня́етесь
3rd Pl,стесня́ются
Past M,стесня́лся
Past F,стесня́лась
Past N,стесня́лось
Past PL,стесня́лись
Imp S,стесня́йся
Imp PL,стесня́йтесь
