Infinitive,ста́лкиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ста́лкивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ста́лкивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ста́лкиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ста́лкивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ста́лкиваюсь
2nd Sing,ста́лкиваешься
3rd Sing,ста́лкивается
1st Pl,ста́лкиваемся
2nd Pl,ста́лкиваетесь
3rd Pl,ста́лкиваются
Past M,ста́лкивался
Past F,ста́лкивалась
Past N,ста́лкивалось
Past PL,ста́лкивались
Imp S,ста́лкивайся
Imp PL,ста́лкивайтесь
