Infinitive,стиха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,стиха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стиха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стиха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стиха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,стиха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,стиха́ю
2nd Sing,стиха́ешь
3rd Sing,стиха́ет
1st Pl,стиха́ем
2nd Pl,стиха́ете
3rd Pl,стиха́ют
Past M,стиха́л
Past F,стиха́ла
Past N,стиха́ло
Past PL,стиха́ли
Imp S,стиха́й
Imp PL,стиха́йте
