Infinitive,столкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,столкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сто́лкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,столкну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,столкну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,столкну́
2nd Sing,столкнёшь
3rd Sing,столкнёт
1st Pl,столкнём
2nd Pl,столкнёте
3rd Pl,столкну́т
Past M,столкну́л
Past F,столкну́ла
Past N,столкну́ло
Past PL,столкну́ли
Imp S,столкни́
Imp PL,столкни́те
