Infinitive,сту́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сту́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сту́кнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сту́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сту́кнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сту́кну
2nd Sing,сту́кнешь
3rd Sing,сту́кнет
1st Pl,сту́кнем
2nd Pl,сту́кнете
3rd Pl,сту́кнут
Past M,сту́кнул
Past F,сту́кнула
Past N,сту́кнуло
Past PL,сту́кнули
Imp S,сту́кни
Imp PL,сту́кните
