Infinitive,ста́виться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ста́вящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ста́вившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ста́вясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ста́вившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ста́влюсь
2nd Sing,ста́вишься
3rd Sing,ста́вится
1st Pl,ста́вимся
2nd Pl,ста́витесь
3rd Pl,ста́вятся
Past M,ста́вился
Past F,ста́вилась
Past N,ста́вилось
Past PL,ста́вились
Imp S,ста́вься
Imp PL,ста́вьтесь
