Infinitive,сти́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сти́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сти́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сти́скиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сти́скивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сти́скивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сти́скивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сти́скиваю
2nd Sing,сти́скиваешь
3rd Sing,сти́скивает
1st Pl,сти́скиваем
2nd Pl,сти́скиваете
3rd Pl,сти́скивают
Past M,сти́скивал
Past F,сти́скивала
Past N,сти́скивало
Past PL,сти́скивали
Imp S,сти́скивай
Imp PL,сти́скивайте
