Infinitive,стрекота́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,стреко́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стрекота́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стрекоча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стрекота́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,стрекота́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,стрекочу́
2nd Sing,стреко́чешь
3rd Sing,стреко́чет
1st Pl,стреко́чем
2nd Pl,стреко́чете
3rd Pl,стреко́чут
Past M,стрекота́л
Past F,стрекота́ла
Past N,стрекота́ло
Past PL,стрекота́ли
Imp S,стрекочи́
Imp PL,стрекочи́те
