Infinitive,стя́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стя́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стя́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стя́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стя́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,стя́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,стя́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,стя́гиваю
2nd Sing,стя́гиваешь
3rd Sing,стя́гивает
1st Pl,стя́гиваем
2nd Pl,стя́гиваете
3rd Pl,стя́гивают
Past M,стя́гивал
Past F,стя́гивала
Past N,стя́гивало
Past PL,стя́гивали
Imp S,стя́гивай
Imp PL,стя́гивайте
