Infinitive,страши́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,страша́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,страши́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,страша́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,страши́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,страшу́сь
2nd Sing,страши́шься
3rd Sing,страши́тся
1st Pl,страши́мся
2nd Pl,страши́тесь
3rd Pl,страша́тся
Past M,страши́лся
Past F,страши́лась
Past N,страши́лось
Past PL,страши́лись
Imp S,страши́сь
Imp PL,страши́тесь
