Infinitive,стра́нствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,стра́нствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стра́нствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стра́нствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стра́нствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,стра́нствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,стра́нствую
2nd Sing,стра́нствуешь
3rd Sing,стра́нствует
1st Pl,стра́нствуем
2nd Pl,стра́нствуете
3rd Pl,стра́нствуют
Past M,стра́нствовал
Past F,стра́нствовала
Past N,стра́нствовало
Past PL,стра́нствовали
Imp S,стра́нствуй
Imp PL,стра́нствуйте
