Infinitive,сторони́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стороня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сторони́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стороня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сторони́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стороню́сь
2nd Sing,сторони́шься
3rd Sing,сторони́тся
1st Pl,сторони́мся
2nd Pl,сторони́тесь
3rd Pl,стороня́тся
Past M,сторони́лся
Past F,сторони́лась
Past N,сторони́лось
Past PL,сторони́лись
Imp S,сторони́сь
Imp PL,сторони́тесь
