Infinitive,столпи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,столпи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,столпи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,столплю́сь
2nd Sing,столпи́шься
3rd Sing,столпи́тся
1st Pl,столпи́мся
2nd Pl,столпи́тесь
3rd Pl,столпя́тся
Past M,столпи́лся
Past F,столпи́лась
Past N,столпи́лось
Past PL,столпи́лись
Imp S,столпи́сь
Imp PL,столпи́тесь
