Infinitive,стрясти́сь
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стря́сшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стря́сшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,стрясу́сь
2nd Sing,стрясёшься
3rd Sing,стрясётся
1st Pl,стрясёмся
2nd Pl,стрясётесь
3rd Pl,стрясу́тся
Past M,стря́сся
Past F,стрясла́сь
Past N,стрясло́сь
Past PL,стрясли́сь
Imp S,стряси́сь
Imp PL,стряси́тесь
