Infinitive,стека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стека́юсь
2nd Sing,стека́ешься
3rd Sing,стека́ется
1st Pl,стека́емся
2nd Pl,стека́етесь
3rd Pl,стека́ются
Past M,стека́лся
Past F,стека́лась
Past N,стека́лось
Past PL,стека́лись
Imp S,стека́йся
Imp PL,стека́йтесь
