Infinitive,строчи́ть
Zaliznyak Class,4b⑧ // 4c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,строча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,строчи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,строчи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стро́ченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,строча́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,строчи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,строчи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,строчу́
2nd Sing,строчи́шь
3rd Sing,строчи́т
1st Pl,строчи́м
2nd Pl,строчи́те
3rd Pl,строча́т
Past M,строчи́л
Past F,строчи́ла
Past N,строчи́ло
Past PL,строчи́ли
Imp S,строчи́
Imp PL,строчи́те
