Infinitive,ста́ться
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ста́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ста́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ста́нусь
2nd Sing,ста́нешься
3rd Sing,ста́нется
1st Pl,ста́немся
2nd Pl,ста́нетесь
3rd Pl,ста́нутся
Past M,ста́лся
Past F,ста́лась
Past N,ста́лось
Past PL,ста́лись
Imp S,ста́нься
Imp PL,ста́ньтесь
