Infinitive,стреми́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стремя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стреми́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стремя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стреми́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стремлю́сь
2nd Sing,стреми́шься
3rd Sing,стреми́тся
1st Pl,стреми́мся
2nd Pl,стреми́тесь
3rd Pl,стремя́тся
Past M,стреми́лся
Past F,стреми́лась
Past N,стреми́лось
Past PL,стреми́лись
Imp S,стреми́сь
Imp PL,стреми́тесь
