Infinitive,стабилизи́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стабилизи́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стабилизи́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стабилизи́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стабилизи́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стабилизи́руюсь
2nd Sing,стабилизи́руешься
3rd Sing,стабилизи́руется
1st Pl,стабилизи́руемся
2nd Pl,стабилизи́руетесь
3rd Pl,стабилизи́руются
Past M,стабилизи́ровался
Past F,стабилизи́ровалась
Past N,стабилизи́ровалось
Past PL,стабилизи́ровались
Imp S,стабилизи́руйся
Imp PL,стабилизи́руйтесь
