Infinitive,стега́ть
Zaliznyak Class,1a(-ё-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стега́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стёганный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,стега́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,стега́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,стега́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,стега́ю
2nd Sing,стега́ешь
3rd Sing,стега́ет
1st Pl,стега́ем
2nd Pl,стега́ете
3rd Pl,стега́ют
Past M,стега́л
Past F,стега́ла
Past N,стега́ло
Past PL,стега́ли
Imp S,стега́й
Imp PL,стега́йте
