Infinitive,сти́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сти́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,сти́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сти́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сти́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сти́хну
2nd Sing,сти́хнешь
3rd Sing,сти́хнет
1st Pl,сти́хнем
2nd Pl,сти́хнете
3rd Pl,сти́хнут
Past M,сти́х
Past F,сти́хла
Past N,сти́хло
Past PL,сти́хли
Imp S,сти́хни
Imp PL,сти́хните
