Infinitive,стушева́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стушева́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стушева́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,стушу́юсь
2nd Sing,стушу́ешься
3rd Sing,стушу́ется
1st Pl,стушу́емся
2nd Pl,стушу́етесь
3rd Pl,стушу́ются
Past M,стушева́лся
Past F,стушева́лась
Past N,стушева́лось
Past PL,стушева́лись
Imp S,стушу́йся
Imp PL,стушу́йтесь
