Infinitive,стира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стира́юсь
2nd Sing,стира́ешься
3rd Sing,стира́ется
1st Pl,стира́емся
2nd Pl,стира́етесь
3rd Pl,стира́ются
Past M,стира́лся
Past F,стира́лась
Past N,стира́лось
Past PL,стира́лись
Imp S,стира́йся
Imp PL,стира́йтесь
