Infinitive,стреля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стреля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стреля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стреля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стреля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стреля́юсь
2nd Sing,стреля́ешься
3rd Sing,стреля́ется
1st Pl,стреля́емся
2nd Pl,стреля́етесь
3rd Pl,стреля́ются
Past M,стреля́лся
Past F,стреля́лась
Past N,стреля́лось
Past PL,стреля́лись
Imp S,стреля́йся
Imp PL,стреля́йтесь
