Infinitive,стере́чь
Zaliznyak Class,8b/b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стерегу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стерёгший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стережённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,стерёгши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стерегу́
2nd Sing,стережёшь
3rd Sing,стережёт
1st Pl,стережём
2nd Pl,стережёте
3rd Pl,стерегу́т
Past M,стерёг
Past F,стерегла́
Past N,стерегло́
Past PL,стерегли́
Imp S,стереги́
Imp PL,стереги́те
