Infinitive,сту́кнуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сту́кнувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сту́кнувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сту́кнусь
2nd Sing,сту́кнешься
3rd Sing,сту́кнется
1st Pl,сту́кнемся
2nd Pl,сту́кнетесь
3rd Pl,сту́кнутся
Past M,сту́кнулся
Past F,сту́кнулась
Past N,сту́кнулось
Past PL,сту́кнулись
Imp S,сту́кнись
Imp PL,сту́книтесь
