Infinitive,стона́ть
Zaliznyak Class,6°c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сто́нущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стона́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стоня́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стона́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,стона́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,стону́
2nd Sing,сто́нешь
3rd Sing,сто́нет
1st Pl,сто́нем
2nd Pl,сто́нете
3rd Pl,сто́нут
Past M,стона́л
Past F,стона́ла
Past N,стона́ло
Past PL,стона́ли
Imp S,стони́
Imp PL,стони́те
