Infinitive,топо́рщиться
Zaliznyak Class,4a[③]
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,топо́рщащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,топо́рщившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,топо́рщась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,топо́рщившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,топо́рщусь
2nd Sing,топо́рщишься
3rd Sing,топо́рщится
1st Pl,топо́рщимся
2nd Pl,топо́рщитесь
3rd Pl,топо́рщатся
Past M,топо́рщился
Past F,топо́рщилась
Past N,топо́рщилось
Past PL,топо́рщились
Imp S,топо́рщись
Imp PL,топо́рщьтесь
