Infinitive,толка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,толка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,толка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,толка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,толка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,толка́юсь
2nd Sing,толка́ешься
3rd Sing,толка́ется
1st Pl,толка́емся
2nd Pl,толка́етесь
3rd Pl,толка́ются
Past M,толка́лся
Past F,толка́лась
Past N,толка́лось
Past PL,толка́лись
Imp S,толка́йся
Imp PL,толка́йтесь
