Infinitive,то́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,то́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,то́пнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,то́пнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,то́пну
2nd Sing,то́пнешь
3rd Sing,то́пнет
1st Pl,то́пнем
2nd Pl,то́пнете
3rd Pl,то́пнут
Past M,то́пнул
Past F,то́пнула
Past N,то́пнуло
Past PL,то́пнули
Imp S,то́пни
Imp PL,то́пните
