Infinitive,тоскова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тоску́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тоскова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тоску́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тоскова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тоскова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тоску́ю
2nd Sing,тоску́ешь
3rd Sing,тоску́ет
1st Pl,тоску́ем
2nd Pl,тоску́ете
3rd Pl,тоску́ют
Past M,тоскова́л
Past F,тоскова́ла
Past N,тоскова́ло
Past PL,тоскова́ли
Imp S,тоску́й
Imp PL,тоску́йте
