Infinitive,топта́ться
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,то́пчущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,топта́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,топча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,топта́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,топчу́сь
2nd Sing,то́пчешься
3rd Sing,то́пчется
1st Pl,то́пчемся
2nd Pl,то́пчетесь
3rd Pl,то́пчутся
Past M,топта́лся
Past F,топта́лась
Past N,топта́лось
Past PL,топта́лись
Imp S,топчи́сь
Imp PL,топчи́тесь
