Infinitive,томи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,томя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,томи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,томя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,томи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,томлю́сь
2nd Sing,томи́шься
3rd Sing,томи́тся
1st Pl,томи́мся
2nd Pl,томи́тесь
3rd Pl,томя́тся
Past M,томи́лся
Past F,томи́лась
Past N,томи́лось
Past PL,томи́лись
Imp S,томи́сь
Imp PL,томи́тесь
