Infinitive,топи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,топя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,топи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,топя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,топи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,топлю́сь
2nd Sing,то́пишься
3rd Sing,то́пится
1st Pl,то́пимся
2nd Pl,то́питесь
3rd Pl,то́пятся
Past M,топи́лся
Past F,топи́лась
Past N,топи́лось
Past PL,топи́лись
Imp S,топи́сь
Imp PL,топи́тесь
