Infinitive,тормозну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тормозну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,тормозну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,тормозну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,тормозну́
2nd Sing,тормознёшь
3rd Sing,тормознёт
1st Pl,тормознём
2nd Pl,тормознёте
3rd Pl,тормозну́т
Past M,тормозну́л
Past F,тормозну́ла
Past N,тормозну́ло
Past PL,тормозну́ли
Imp S,тормозни́
Imp PL,тормозни́те
