Infinitive,толсте́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,толсте́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,толсте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,толсте́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,толсте́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,толсте́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,толсте́ю
2nd Sing,толсте́ешь
3rd Sing,толсте́ет
1st Pl,толсте́ем
2nd Pl,толсте́ете
3rd Pl,толсте́ют
Past M,толсте́л
Past F,толсте́ла
Past N,толсте́ло
Past PL,толсте́ли
Imp S,толсте́й
Imp PL,толсте́йте
