Infinitive,торгова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,торгу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,торгова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,торгу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,торгова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,торгу́юсь
2nd Sing,торгу́ешься
3rd Sing,торгу́ется
1st Pl,торгу́емся
2nd Pl,торгу́етесь
3rd Pl,торгу́ются
Past M,торгова́лся
Past F,торгова́лась
Past N,торгова́лось
Past PL,торгова́лись
Imp S,торгу́йся
Imp PL,торгу́йтесь
