Infinitive,толкну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,толкну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,толкну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,толкну́сь
2nd Sing,толкнёшься
3rd Sing,толкнётся
1st Pl,толкнёмся
2nd Pl,толкнётесь
3rd Pl,толкну́тся
Past M,толкну́лся
Past F,толкну́лась
Past N,толкну́лось
Past PL,толкну́лись
Imp S,толкни́сь
Imp PL,толкни́тесь
