Infinitive,тону́ть
Zaliznyak Class,3c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тону́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тону́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тону́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,тону́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тону́
2nd Sing,то́нешь
3rd Sing,то́нет
1st Pl,то́нем
2nd Pl,то́нете
3rd Pl,то́нут
Past M,тону́л
Past F,тону́ла
Past N,тону́ло
Past PL,тону́ли
Imp S,тони́
Imp PL,тони́те
