Infinitive,толпи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,толпя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,толпи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,толпя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,толпи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,толплю́сь
2nd Sing,толпи́шься
3rd Sing,толпи́тся
1st Pl,толпи́мся
2nd Pl,толпи́тесь
3rd Pl,толпя́тся
Past M,толпи́лся
Past F,толпи́лась
Past N,толпи́лось
Past PL,толпи́лись
Imp S,толпи́сь
Imp PL,толпи́тесь
