Infinitive,торопи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,торопя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,торопи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,торопи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,торо́пленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,торопя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,торопи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,торопи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,тороплю́
2nd Sing,торо́пишь
3rd Sing,торо́пит
1st Pl,торо́пим
2nd Pl,торо́пите
3rd Pl,торо́пят
Past M,торопи́л
Past F,торопи́ла
Past N,торопи́ло
Past PL,торопи́ли
Imp S,торопи́
Imp PL,торопи́те
