Infinitive,толкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,толкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,толкну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,толкну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,толкну́
2nd Sing,толкнёшь
3rd Sing,толкнёт
1st Pl,толкнём
2nd Pl,толкнёте
3rd Pl,толкну́т
Past M,толкну́л
Past F,толкну́ла
Past N,толкну́ло
Past PL,толкну́ли
Imp S,толкни́
Imp PL,толкни́те
