Infinitive,толо́чься
Zaliznyak Class,8b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,толку́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,толо́кшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,толо́кшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,толку́сь
2nd Sing,толчёшься
3rd Sing,толчётся
1st Pl,толчёмся
2nd Pl,толчётесь
3rd Pl,толку́тся
Past M,толо́кся
Past F,толкла́сь
Past N,толкло́сь
Past PL,толкли́сь
Imp S,толки́сь
Imp PL,толки́тесь
